Model Name,Type of Parameters,Baseline Accuracy (test dataset),Number of Correct Responses (test dataset),Number of Incorrect Responses (test dataset),F1 Validation Score,Precision on validation,Recall on validation,test accuracy,among abstained incorrect (test dataset),Among abstained correct (test dataset),Mean token saved per abstain response (test dataset)
deepseek-ai_DeepSeek-V3.1,"chunk_size=50, delta=0.1, noise=1.0, ground_threshold=1, min_support_per_class=3",0.656814,400,209,0.0,0.0,0.0,0.656814,0,0,0.0
Qwen_Qwen3-32B,"chunk_size=50, delta=0.1, noise=1.0, ground_threshold=1, min_support_per_class=3",0.519672,317,293,0.188235,0.695652,0.108844,0.480328,34,24,1541.6207
openai_gpt-oss-120b,"chunk_size=50, delta=0.1, noise=1.0, ground_threshold=1, min_support_per_class=3",0.596721,364,246,0.031746,0.666667,0.01626,0.595082,2,1,830.3333
Qwen_Qwen2.5-32B,"chunk_size=50, delta=0.4, noise=2.0, ground_threshold=2, min_support_per_class=3",0.454098,277,333,0.069364,1.0,0.035928,0.44918,12,3,1616.2667
Qwen_Qwen3-235B-A22B-Thinking-2507,"chunk_size=50, delta=0.1, noise=1.0, ground_threshold=2, min_support_per_class=3",0.57377,350,260,0.285714,0.741935,0.176923,0.534426,37,24,7273.459
RedHatAI_DeepSeek-R1-Distill-Llama-70B-FP8-dynamic,"chunk_size=50, delta=0.1, noise=1.0, ground_threshold=1, min_support_per_class=3",0.483607,295,315,0.127907,0.733333,0.070064,0.462295,35,13,2457.5833
RedHatAI_Meta-Llama-3.1-70B-Instruct-FP8,"chunk_size=50, delta=0.1, noise=1.0, ground_threshold=1, min_support_per_class=3",0.516393,315,295,0.0,0.0,0.0,0.516393,0,0,0.0
