Model Name,Type of Parameters,Baseline Accuracy (test dataset),Number of Correct Responses (test dataset),Number of Incorrect Responses (test dataset),F1 Validation Score,Precision on validation,Recall on validation,test accuracy,among abstained incorrect (test dataset),Among abstained correct (test dataset),Mean token saved per abstain response (test dataset)
deepseek-ai_DeepSeek-V3.1,"chunk_size=50, delta=0.02, noise=0.01, ground_threshold=1, min_support_per_class=3",0.656814,400,209,0.0,0.0,0.0,0.656814,0,0,0.0
Qwen_Qwen3-32B,"chunk_size=50, delta=0.02, noise=0.02, ground_threshold=1, min_support_per_class=3",0.519672,317,293,0.628415,0.525114,0.782313,0.145902,231,228,1053.1678
openai_gpt-oss-120b,"chunk_size=50, delta=0.02, noise=0.05, ground_threshold=1, min_support_per_class=3",0.596721,364,246,0.530466,0.474359,0.601626,0.3,152,181,576.6336
Qwen_Qwen2.5-32B,"chunk_size=100, delta=0.02, noise=0.01, ground_threshold=1, min_support_per_class=3",0.454098,277,333,0.285714,0.697674,0.179641,0.370492,56,51,664.9907
Qwen_Qwen3-235B-A22B-Thinking-2507,"chunk_size=50, delta=0.02, noise=0.01, ground_threshold=1, min_support_per_class=3",0.57377,350,260,0.58363,0.543046,0.630769,0.311475,124,160,6130.75
RedHatAI_DeepSeek-R1-Distill-Llama-70B-FP8-dynamic,"chunk_size=50, delta=0.02, noise=0.02, ground_threshold=1, min_support_per_class=3",0.483607,295,315,0.468619,0.682927,0.356688,0.393443,99,55,2384.3442
RedHatAI_Meta-Llama-3.1-70B-Instruct-FP8,"chunk_size=50, delta=0.02, noise=0.01, ground_threshold=1, min_support_per_class=3",0.516393,315,295,0.530466,0.564885,0.5,0.329508,139,114,133.6482
